source,target,weight
MEX,COL,5628647.463000001
MEX,CAN,10439984.844
MEX,PRT,332173.862
MEX,ARE,353258.8589999999
MEX,HND,499793.1909999998
MEX,SGP,589132.3239999998
MEX,ESP,4893797.891
MEX,URY,270379.95199999993
MEX,GBR,2145357.157
MEX,ITA,1558144.0559999994
MEX,JAM,240137.87699999995
MEX,CHE,1206133.3390000004
MEX,FRA,708162.7030000003
MEX,BEL,1210709.1769999997
MEX,TUR,187946.12800000008
MEX,KOR,1520991.427
MEX,NLD,2067572.164
MEX,ECU,830285.5089999998
MEX,CHN,5963310.874
MEX,IRL,254467.469
MEX,CHL,2068685.7590000003
MEX,PER,1285055.782
MEX,NIC,405033.89499999984
MEX,JPN,2244359.413
MEX,SLV,663908.368
MEX,DOM,982115.3230000004
MEX,DZA,201140.86
MEX,ZAF,263232.6559999999
MEX,BRA,4869083.761
MEX,ARG,1955284.634
MEX,HUN,655193.874
MEX,IND,1817099.779
MEX,THA,319400.7360000001
MEX,GTM,1786263.7529999986
MEX,AUS,893705.1719999998
MEX,RUS,471122.076
MEX,PAN,1021427.6650000004
MEX,DEU,4305198.357000004
MEX,CRI,996271.7609999994
MEX,USA,272796627.00500005
AUT,MEX,507981.2729999999
AUT,POL,4417237.577
AUT,SAU,716556.925
AUT,KAZ,254135.50900000008
AUT,CAN,1023444.7349999998
AUT,CZE,6279949.083999996
AUT,FIN,604669.4820000001
AUT,ISR,355542.38499999995
AUT,SVK,3232061.215999999
AUT,PRT,377471.3799999999
AUT,ARE,678615.5680000001
AUT,SGP,447943.5389999998
AUT,ESP,2533058.7800000007
AUT,BLR,240193.123
AUT,GBR,4555797.372
AUT,ITA,11257111.251999998
AUT,EGY,245202.999
AUT,SVN,2981994.313
AUT,IRQ,266710.5159999999
AUT,CHE,8699570.681000004
AUT,FRA,6412440.993000001
AUT,BEL,2224034.0879999995
AUT,MYS,446201.2249999999
AUT,TUR,1454222.354
AUT,LTU,200686.765
AUT,IDN,263826.6980000001
AUT,KOR,1085927.3700000003
AUT,NLD,2449485.784
AUT,CHN,3685497.5550000006
AUT,HRV,1507963.9340000013
AUT,IRL,242064.48000000004
AUT,CHL,191810.29
AUT,NOR,561023.2440000001
AUT,JPN,1571151.0069999995
AUT,DZA,193434.8450000001
AUT,ZAF,674689.914
AUT,BRA,1157776.7490000003
AUT,IRN,365297.544
AUT,UKR,879017.0989999999
AUT,BGR,824770.7960000002
AUT,HUN,4950417.181999999
AUT,IND,1014721.6620000008
AUT,THA,290204.62400000007
AUT,AUS,905695.9889999996
AUT,GRC,572233.4660000002
AUT,SWE,1755502.8700000006
AUT,DNK,828204.8319999999
AUT,RUS,3892322.441
AUT,DEU,50299778.344
AUT,LUX,188782.7740000001
AUT,USA,8029695.333
AUT,BIH,423935.7809999996
MKD,ITA,291101.579
MKD,BGR,308614.218
MKD,GRC,217988.05399999995
MKD,DEU,1242437.584
BTN,IND,343018.12200000003
PRY,ESP,243542.98000000004
PRY,ITA,330908.27300000004
PRY,TUR,206712.015
PRY,CHL,541429.4
PRY,PER,215406.65900000004
PRY,BRA,2499973.348
PRY,ARG,692130.802
PRY,RUS,405268.802
PRY,DEU,574977.738
PNG,SGP,353582.237
PNG,CHN,352916.0090000001
PNG,JPN,385665.0150000001
PNG,AUS,2344940.662
PNG,PHL,207884.711
PNG,DEU,347799.179
BHR,QAT,778231.1960000002
BHR,SAU,1643006.899
BHR,ARE,599332.4129999998
BHR,OMN,768204.051
BHR,CHN,397037.926
BHR,IND,492895.048
BHR,USA,300959.06200000003
TTO,COL,261399.613
TTO,CAN,212434.25800000003
TTO,ESP,585456.7390000001
TTO,GBR,348169.27
TTO,JAM,623366.386
TTO,FRA,550167.0189999999
TTO,GUY,286574.58300000004
TTO,SUR,292535.0
TTO,LBR,197878.785
TTO,NLD,350027.189
TTO,DOM,237302.552
TTO,BRA,294083.52100000007
TTO,ARG,632590.958
TTO,HUN,196857.365
TTO,USA,7272740.273999999
COL,MEX,703373.01
COL,TTO,1000912.462
COL,CAN,614284.67
COL,ISR,672346.268
COL,PRT,312468.122
COL,BHS,451620.041
COL,HND,293044.12500000006
COL,SGP,281394.4749999999
COL,ESP,1719857.4430000004
COL,GBR,1195854.233
COL,ITA,744690.9269999999
COL,CHE,953457.847
COL,FRA,487832.86
COL,BEL,620632.4940000001
COL,TUR,596093.46
COL,KOR,276056.42900000006
COL,NLD,2524043.187000001
COL,ECU,1908450.0900000003
COL,CHN,1989039.0860000004
COL,CHL,2204648.0470000003
COL,PER,1396396.8909999996
COL,JPN,527895.412
COL,SLV,445107.1929999999
COL,DOM,620601.8150000001
COL,BRA,1369651.0449999997
COL,ARG,304829.88600000006
COL,IND,731869.8459999998
COL,GTM,573423.009
COL,DNK,451151.70100000006
COL,PAN,1956114.6410000003
COL,DEU,419257.8229999999
COL,CRI,434713.7379999999
COL,USA,21946230.668999992
JOR,SAU,679773.0490000002
JOR,LBN,334626.766
JOR,ARE,291034.17500000005
JOR,IRQ,1213816.7350000003
JOR,IDN,221243.345
JOR,CHN,203415.473
JOR,IND,871200.9260000002
JOR,USA,1039581.8360000004
LKA,ARE,297000.992
LKA,SGP,406427.1600000001
LKA,GBR,1110297.044
LKA,ITA,609582.9440000001
LKA,FRA,184157.17
LKA,BEL,545793.3520000001
LKA,NLD,197550.115
LKA,JPN,223491.73700000005
LKA,IND,521264.5
LKA,RUS,281231.199
LKA,DEU,508340.6839999999
LKA,USA,2143900.8120000004
POL,MEX,432346.5240000001
POL,AUT,3614725.0780000007
POL,SAU,276444.565
POL,KAZ,493424.8550000001
POL,CAN,792558.873
POL,CZE,11674769.041999996
POL,FIN,1406909.8850000002
POL,ISR,392762.90700000006
POL,SVK,4549090.594
POL,PRT,660393.6089999999
POL,BHS,286075.81600000005
POL,ARE,342603.651
POL,SGP,574147.5120000002
POL,ESP,4534565.751000001
POL,MDA,189324.87399999995
POL,BLR,1856205.151
POL,GBR,12169123.951
POL,ITA,10081019.202999998
POL,EGY,195739.148
POL,SVN,640574.4290000001
POL,CHE,1669204.673
POL,MAR,198948.003
POL,FRA,11534247.658999996
POL,BEL,4364135.436
POL,TUR,3291156.757
POL,LTU,2574989.0760000004
POL,KOR,416274.6879999999
POL,EST,1046022.9759999996
POL,NLD,8192510.750999999
POL,CHN,1860808.4829999988
POL,HRV,446855.4489999999
POL,IRL,542598.7110000001
POL,NOR,3818895.906
POL,JPN,564639.743
POL,CYP,316030.341
POL,DZA,353543.49100000004
POL,LVA,1140555.397
POL,ZAF,528257.226
POL,BRA,376021.067
POL,UKR,4687997.465
POL,BGR,591314.2529999999
POL,HUN,4839699.642999999
POL,IND,523546.8819999997
POL,AUS,374505.743
POL,GRC,829658.9920000001
POL,SWE,5363981.352
POL,DNK,3412318.0670000003
POL,RUS,8531450.483000001
POL,DEU,48854357.192
POL,LUX,281290.528
POL,USA,3692785.224999998
COG,CAN,396028.067
COG,PRT,215606.757
COG,ESP,348151.86899999995
COG,GBR,413897.018
COG,ITA,284550.779
COG,GAB,416247.062
COG,FRA,1018305.189
COG,NLD,692737.0270000001
COG,CHN,3850537.593
COG,AGO,1197014.0909999998
COG,AUS,587387.9500000001
COG,USA,1883155.472
QAT,MEX,401253.238
QAT,LKA,244379.284
QAT,CAN,396415.458
QAT,ARE,3531593.151
QAT,SGP,8019822.571000001
QAT,ESP,4327551.307999999
QAT,GBR,7894275.322
QAT,EGY,263717.476
QAT,FRA,1655934.333
QAT,BEL,1889069.311
QAT,MYS,1663045.3269999998
QAT,TUR,317924.437
QAT,IDN,446609.556
QAT,KOR,19820038.976
QAT,NLD,1390487.338
QAT,CHN,4152938.477
QAT,CHL,224859.775
QAT,KWT,662799.7880000001
QAT,NZL,679707.2239999999
QAT,JPN,29784404.527
QAT,ZAF,558610.685
QAT,ARG,304536.929
QAT,IND,10166708.873
QAT,THA,2113893.001
QAT,PHL,318204.469
QAT,USA,727832.4079999999
MRT,CHE,334442.68200000003
MRT,CHN,263215.14400000003
SAU,BHR,1233331.9259999995
SAU,JOR,1694380.7740000004
SAU,POL,309928.91999999987
SAU,QAT,1364814.485
SAU,VNM,465855.246
SAU,LBN,450641.8860000001
SAU,ARE,5139230.131000002
SAU,SGP,3199008.5280000004
SAU,ESP,410903.7119999999
SAU,YEM,575209.7700000005
SAU,GBR,672830.967
SAU,ITA,971464.9430000004
SAU,PAK,819177.0240000001
SAU,EGY,1563461.3969999994
SAU,OMN,772011.617
SAU,NGA,227464.549
SAU,IRQ,502599.024
SAU,CHE,258804.054
SAU,MAR,517323.5729999999
SAU,FRA,189990.365
SAU,BEL,1576920.901
SAU,MYS,369505.527
SAU,TUR,1682334.899000001
SAU,IDN,361904.19
SAU,KOR,879992.3030000002
SAU,TUN,188802.36600000004
SAU,NLD,706330.4859999999
SAU,CHN,5976119.998000002
SAU,KWT,1543051.5100000005
SAU,NZL,190217.57
SAU,JPN,256577.651
SAU,KEN,250127.242
SAU,DZA,386054.876
SAU,ZAF,410766.113
SAU,IRN,307479.58700000006
SAU,IND,2278760.97
SAU,THA,538480.673
SAU,BGD,275894.474
SAU,AUS,332828.68199999986
SAU,DEU,323583.862
SAU,USA,1524662.9680000006
KAZ,AUT,3876532.588000001
KAZ,UZB,1179343.551
KAZ,POL,1305355.688
KAZ,CAN,2629265.1669999994
KAZ,FIN,582698.144
KAZ,ISR,1418512.914
KAZ,PRT,1137753.05
KAZ,ESP,1135352.156
KAZ,KGZ,506773.9709999999
KAZ,AZE,237580.27899999995
KAZ,GBR,1619185.144
KAZ,ITA,15045253.714000002
KAZ,CHE,4952837.397000001
KAZ,FRA,5414718.181000001
KAZ,TUR,2574351.1780000003
KAZ,KOR,279213.40400000004
KAZ,NLD,6637107.266
KAZ,CHN,16289385.153
KAZ,JPN,1043880.4759999998
KAZ,LVA,183005.511
KAZ,TJK,356778.306
KAZ,IRN,1077030.6410000003
KAZ,UKR,2669595.1640000003
KAZ,BGR,481939.58
KAZ,GRC,575434.584
KAZ,RUS,7513175.799999999
KAZ,DEU,1610232.0269999993
KAZ,USA,1028885.556
KAZ,AFG,333844.229
VNM,MEX,589680.4540000001
VNM,AUT,461454.33200000005
VNM,POL,445360.4380000001
VNM,SAU,261651.058
VNM,CAN,969037.674
VNM,SEN,190238.999
VNM,CZE,183179.48600000003
VNM,ARE,921832.793
VNM,LAO,273584.806
VNM,SGP,2148585.788
VNM,ESP,1554621.954
VNM,GBR,2397871.3919999995
VNM,KHM,2406075.668
VNM,ITA,1534155.6509999996
VNM,EGY,256254.751
VNM,CHE,1188296.648
VNM,FRA,1658473.2800000005
VNM,BEL,1199576.883
VNM,MYS,2770365.5400000005
VNM,TUR,771643.4660000002
VNM,IDN,2358597.7660000008
VNM,KOR,4866448.757999999
VNM,NLD,2147757.7839999995
VNM,CHN,11188407.242
VNM,JPN,11091041.331000008
VNM,ZAF,1864288.5970000003
VNM,BRA,597817.0459999999
VNM,UKR,194413.348
VNM,IND,1553756.3749999998
VNM,THA,1937843.94
VNM,BGD,445165.77299999975
VNM,AUS,2601372.286999999
VNM,PHL,1535046.4490000005
VNM,SWE,427209.997
VNM,DNK,271260.588
VNM,RUS,1287165.972
VNM,PAN,227323.5300000001
VNM,DEU,3366492.460999999
