country_iso3,foreign_direct_investment_inflows,gdp_per_capita,continent,net_barter_of_trade,inflation_rate,population,langoff_1,gdp_growth,agriculture_forestry_fishing_of_gdp,industry_of_gdp,area,gdp_us_dollar,merchandise_of_gdp,landlocked
AFG,52173421.0,591.162798293135,Asia,144.7518695,11.8041858089129,30117411,Persian,0.4263547929,23.7436639877543,22.7402524820273,652225,17804292964.0,38.7041485662647,1
AGO,-3023770965.83688,4615.46821863819,Africa,244.3291519,13.4824679218512,24220660,Portuguese,3.471976345,5.84568096888111,56.026514743024,1246700,111789686464.0,78.3059714796182,0
ALB,1048706682.05458,4437.14288515077,Europe,94.33720177,3.42912324722164,2905195,Albanian,2.545321845,18.2267654155688,24.484407516121,28748,12890765324.0,56.8624113125754,0
ARE,7152095825.6,39194.672239975,Asia,176.1497815,0.877346595685083,8946778,Arabic,6.930271629,0.671910149003627,58.0355992952437,83657,350666031314.0,151.702461172787,0
ARG,10839930944.6815,12848.8641969705,America,160.564925,9.8,41261490,Spanish,6.003951693,6.99873377022519,25.2126976058843,2766889,530163281575.0,29.8719291780486,0
ARM,653219756.47225,3525.80719813557,Asia,128.2433543,7.6500080785929,2876536,Armenian,4.699999999,17.5,27.5,29800,10142111334.0,54.0222821392664,1
ATG,65160596.2962963,12746.6334682021,America,68.37541426,3.45674967234602,89250,English,-1.958612628,1.93318183889934,14.5307687799923,442,1137637037.0,42.7201281408508,0
AUS,65554890649.5348,62517.8337471503,Pacific,200.2885825,3.30385015608744,22340024,English,2.462756312,2.27654236627696,26.4361276332007,7686848,1396649906339.0,36.9050252078536,0
AUT,22983942931.9264,51374.9584066934,Europe,88.72963314,3.28657914875376,8391643,German,2.922797284,1.40191493427276,25.4474320432043,83858,431120310089.0,85.5550043383505,1
AZE,4485120000.0,7189.69122920765,Asia,199.3036857,7.85833333333332,9173082,Azeri,-1.572997621,5.07622595138436,61.7339963903076,86600,65951627200.0,67.7178136400292,1
BDI,3354999.1805922,249.577972769836,Africa,164.5119637,9.59216605979671,8958406,French,4.032602496,36.7045760044036,14.8096813161324,27834,2235820868.0,39.1355155379094,1
BEL,163624381384.585,47348.5250202016,Europe,94.86824368,3.53208210722744,11038264,Dutch,1.694513899,0.648034219951815,20.7778964049581,33114,522645519184.0,180.354554932841,0
BEN,161302390.821902,1130.27318959427,Africa,137.2188236,2.70423907747279,9460829,French,2.963752919,25.7970008253273,18.1374491115974,112622,10693321954.0,33.0954235595754,0
BFA,143845512.327138,751.172770411005,Africa,139.8371615,2.7597672485453,16081915,French,6.622562613,23.043650452489,28.3722709055706,274200,12080296644.0,39.7755133137476,1
BGD,1264725163.33408,861.762162181077,Asia,57.47437649,11.3951651552399,149273134,Bengali,6.464379123,16.8099867573503,25.0452996007551,143998,128637938711.0,47.1501647240183,0
BGR,2103810000.0,7809.42506245471,Europe,106.992395,4.21990346601875,7348328,Bulgarian,2.354556923,4.64163500145713,25.0746261038118,110994,57386216850.0,105.931360066023,0
BHR,780851063.829787,22514.202716483,Asia,138.7356468,-0.400040697488052,1278153,Arabic,1.983515012,0.290850277264325,49.5171903881701,678,28776595745.0,112.521996303142,0
BHS,666621000.0,28005.9124040903,America,86.37412316,3.19878141660321,359583,English,0.6133841584,1.09230471329484,12.0451419747876,13939,10070450000.0,37.7341628229126,0
BIH,471610992.220788,5092.55472521264,Europe,101.9771048,3.67124999999999,3661173,Serbo-Croatian,0.9595112472,6.75774577677582,22.1932593254568,51233,18644723861.0,90.6476283908872,0
BLR,4002400000.0,6519.23019498892,Europe,110.2279572,53.2286983118173,9473172,Belarussian,5.37870745,8.00175755504565,36.0887890771209,207595,61757788945.0,141.161141759833,0
BOL,858941070.400943,2346.3378439235,America,181.1220112,9.88446419823887,10212951,Spanish,5.204092308,9.7695858816954,30.3691066361261,1098581,23963033431.0,67.958841888504,1
BRA,102427228231.42,13245.6120301146,America,134.179349,6.63644962213085,197514541,Portuguese,3.974425406,4.34203511988559,23.102056242361,8511920,2616200980392.0,18.8442708987175,0
BRN,691170274.5029,47055.960643203,Asia,226.0161692,0.137911563169595,393687,Malay,3.745318352,0.575033257520491,73.672917650088,5765,18525319978.0,86.8756924001202,0
BTN,31141614.8601365,2563.261223801,Asia,134.9239256,8.84898569946799,693297,Burmese,7.982617041,14.2955525913407,41.9767059830459,46620,1777101317.0,96.674285471351,1
BWA,293208060.474684,7617.31004132551,Africa,82.76717855,8.45987233408587,2015406,English,6.048361455,2.51091768009965,35.0464653041146,600372,15351972361.0,85.6828014704467,1
CAF,36908455.8896,551.749691833885,Africa,76.73652007,1.19447572449849,4418639,French,4.194615337,37.5690227836114,26.6383554299084,622984,2437982840.0,20.5087590921589,1
CAN,38338330427.428,52223.696112356,America,117.8183923,2.91213508872355,34339328,English,3.146881372,1.76566446625627,27.1393405983891,9976139,1788647906048.0,51.0211014884086,0
CHE,20764483834.5029,91254.0347609687,Europe,103.6055837,0.231349207650894,7912398,German,1.692808513,0.670935894205478,25.2795684493631,41288,699579638413.0,61.3594923573866,1
CHL,25564944876.5765,14637.2334407887,America,217.8286291,3.34121694259299,17233584,Spanish,6.110918829,3.67120659392567,34.701322001914,756945,252251992029.0,61.8956459942552,0
CHN,280072219149.935,5618.13226711491,Asia,79.04874299,5.55389892257492,1344130000,Chinese,9.550832179,9.17765379535199,46.5292894700168,9572378,7551500124203.0,48.2270401920596,0
CIV,301972462.517861,1208.58319891729,Africa,160.5544104,4.91243395052462,21028652,French,-4.387254789,26.6908494054447,24.2013665756443,322463,25414875503.0,76.1561865516736,0
CMR,653266626.571786,1405.0941234837,Africa,162.0134115,2.93969946305094,20906392,French,4.129277161,13.4796522667294,27.1917734843232,475442,29375448542.0,38.5253691825243,0
COG,298288001.186385,3557.5561698838,Africa,211.3521221,1.75958704273802,4394842,French,2.205919363,3.98393619152519,65.8738951997526,342000,15655384440.0,133.272381880612,0
