country_iso3,population,gdp_growth,continent,merchandise_of_gdp,gdp_per_capita,area,landlocked,agriculture_forestry_fishing_of_gdp,foreign_direct_investment_inflows,inflation_rate,gdp_us_dollar,net_barter_of_trade,langoff_1,industry_of_gdp
AFG,32269592.0,5.600744661,Asia,44.10762764,637.165464,652225,1,22.81066274,48311346.0,7.385771784,20561069558.0,141.4616782,Persian,20.44460531
AGO,26015786.0,4.954544646,Africa,69.18154846,5254.881126,1246700,0,6.50749254,-7120017424.0,8.777814293,136709862831.0,250.0730995,Portuguese,53.36285398
ALB,2895092.0,1.00198715,Europe,56.81650436,4413.060861,28748,0,19.56517622,1254150556.0,1.937620802,12776217195.0,95.36762977,Albanian,23.0613369
ARE,9197908.0,5.053345825,Asia,165.2859551,42412.6395,83657,0,0.6437630438,9764914527.0,1.101118364,390107556161.0,178.9310193,Arabic,55.00612581
ARG,42202935.0,2.405323781,America,27.24604172,13080.25473,2766889,0,6.052918437,9821661858.0,10.62,552025140252.0,156.4980784,Spanish,24.00588144
ARM,2897593.0,3.3,Asia,53.56308354,3838.17388,29800,1,18.43476288,346092394.4,5.789667785,11121465767.0,117.2178455,Armenian,26.70904814
ATG,91510.0,-0.6008763967,America,48.41515905,12910.59063,442,0,2.017298294,134288999.6,1.059497824,1181448148.0,60.40094646,English,15.68226063
AUS,23128129.0,2.584897702,Pacific,31.41263033,68150.10704,7686848,0,2.278906495,53997299140.0,2.449888641,1576184467015.0,176.8117884,English,25.12798549
AUT,8479823.0,0.0255047122,Europe,83.34319358,50716.70871,83858,1,1.254721216,451107665.2,2.000156169,430068712972.0,87.99885103,German,25.52494179
AZE,9416801.0,5.843415762,Asia,56.6632773,7875.756953,86600,1,5.36626448,2619437000.0,2.415717453,74164435946.0,204.7015126,Azeri,57.05441545
BDI,9540302.0,4.924195261,Africa,36.91428732,256.9756471,27834,1,38.3671082,116727136.5,7.937958075,2451625333.0,134.2280884,French,15.58468197
BEL,11159407.0,0.4592421929,Europe,176.4496991,46744.66254,33114,0,0.6811749135,-29640924980.0,1.11309594,521642714408.0,94.14823319,Dutch,19.87919976
BEN,10004594.0,7.191433721,Africa,39.87906823,1251.209707,112622,0,25.27540464,360343380.3,0.4288888889,12517845732.0,121.3540647,French,17.24370929
BFA,17072791.0,5.792584845,Africa,49.99144195,787.4694383,274200,1,23.64109279,490403410.5,0.5337385071,13444301139.0,128.3841555,French,24.09575158
BGD,152761413.0,6.013605658,Asia,44.13547632,981.8608514,143998,0,15.493278,2602962095.0,7.530406409,149990451022.0,61.95916945,Bengali,26.30707016
BGR,7265115.0,0.3257694362,Europe,114.8638735,7655.129708,110994,0,4.482073971,1989040000.0,0.8900935409,55615397666.0,106.6868538,Bulgarian,23.21080449
BHR,1315029.0,5.41683981,Asia,98.1177686,24744.29696,678,0,0.2747890451,3727712766.0,3.300011569,32539468085.0,134.710081,Arabic,47.94537566
BHS,367162.0,-2.678979525,America,38.99360357,28784.02449,13939,0,0.9197229477,382252000.0,1.034670351,10568400000.0,77.82097757,English,12.82597176
BIH,3542598.0,2.349856663,Europe,87.91702631,5131.404646,51233,0,6.841390006,313295008.3,-0.09304568383,18178503835.0,99.07157657,Serbo-Croatian,22.32367869
BLR,9465997.0,1.003470841,Europe,106.2202319,7978.872615,207595,0,6.809122268,2246100000.0,18.31226104,75527984234.0,116.9938253,Belarussian,35.90385104
BOL,10542375.0,6.796011241,America,68.47831937,2908.200371,1098581,1,9.966979477,1749612614.0,5.736400237,30659338880.0,153.9457727,Spanish,28.5181929
BRA,201035904.0,3.004846305,America,19.92027748,12300.32482,8511920,0,4.506904938,75211029129.0,6.204310666,2472806919902.0,123.774555,Portuguese,21.22482871
BRN,404414.0,-2.126028517,Asia,83.22726622,44740.85942,5765,0,0.6846592164,775641999.1,0.3892050531,18093829923.0,232.2713891,Malay,70.02517779
