country_iso3,landlocked,continent,area,gdp_per_capita,net_barter_of_trade,gdp_growth,inflation_rate,agriculture_forestry_fishing_of_gdp,merchandise_of_gdp,foreign_direct_investment_inflows,gdp_us_dollar,industry_of_gdp,population,langoff_1
AFG,1,Asia,652225,578.4663529,152.2335065,1.451314655,-0.6617091647,20.63432272,41.66350318,169146608.0,19907111419.0,22.12404249,34413603.0,Persian
AGO,0,Africa,1246700,4166.979833,137.4660466,0.9435715613,9.150372075,9.122534471,46.36570106,10028215163.0,116193649124.0,41.93309265,27884380.0,Portuguese
ALB,0,Europe,28748,3952.801215,92.65394254,2.218752232,3.501208355,19.78022452,54.61564884,989578334.8,11386846319.0,21.76366248,2880703.0,Albanian
ARE,0,Asia,83657,38663.4005,148.5987821,5.105936984,4.069966084,0.7409992465,157.4528904,8550901847.0,358135057862.0,43.89381417,9262896.0,Arabic
ARG,0,America,2766889,13789.06042,146.3443414,2.731159828,15.0,5.156685902,19.67030526,11758994011.0,594749285413.0,23.15305614,43131966.0,Spanish
ARM,1,Asia,29800,3607.289299,118.5089449,3.199999999,3.731691193,17.22312003,44.76308962,184127986.3,10553337673.0,25.70869944,2925559.0,Armenian
ATG,0,America,442,14285.32978,55.89818757,3.825293099,0.9689934588,1.612326721,38.52793102,114024660.1,1336692593.0,16.45797948,93571.0,English
AUS,0,Pacific,7686848,56755.72171,148.1965091,2.192647426,1.508366722,2.372644114,29.31025843,46892808568.0,1351693984525.0,23.64420556,23815995.0,English
AUT,1,Europe,83858,44178.04738,88.49922641,1.014501586,0.8965633353,1.129790194,80.86951141,-7975773544.0,381817565894.0,25.17491325,8642699.0,German
AZE,1,Asia,86600,5500.310382,119.8082918,1.049546368,4.027685737,6.177638838,48.62799081,4047630000.0,53074370486.0,44.89132034,9649341.0,Azeri
BDI,1,Africa,27834,305.549646,145.5109372,-3.900003086,5.544688913,30.68083011,31.50372506,49622865.77,3104394858.0,11.76494577,10160034.0,French
BEL,0,Europe,33114,40991.80814,95.64220047,2.041459009,0.5614291528,0.6864147805,167.1257245,-19514245855.0,462149679344.0,19.66988832,11274196.0,Dutch
BEN,0,Africa,112622,1076.796702,119.5880978,1.77815106,0.2187859235,26.39208509,37.25799101,149755663.3,11388160958.0,16.38509544,10575962.0,French
BFA,1,Africa,274200,653.3272681,126.1303463,3.921228794,0.7248389811,22.63307521,44.42130872,231901703.7,11832159276.0,24.35081157,18110616.0,French
BGD,0,Asia,143998,1248.45331,68.99045857,6.552639879,6.19428023,14.78299644,38.15178599,2831152765.0,195078678697.0,26.83139483,156256287.0,Bengali
BGR,0,Europe,110994,7055.935673,111.7467553,3.989851714,-0.104633261,4.02320785,107.7566744,2221390000.0,50647442757.0,23.67656566,7177991.0,Bulgarian
BHR,0,Asia,678,22634.08565,130.3197412,2.485378558,1.848627424,0.3162301799,93.22835725,64893617.02,31050638298.0,40.15386671,1371853.0,Arabic
BHS,0,America,13939,31295.56387,81.06273622,0.2304781235,1.878438324,0.8240256857,29.67346381,76075924.75,11710800000.0,11.51159613,374200.0,English
BIH,0,Europe,51233,4727.276333,103.1253283,3.089164152,-1.036023034,6.238163739,86.87637583,383089615.7,16211541820.0,22.626408,3429362.0,Serbo-Croatian
BLR,0,Europe,207595,5949.106307,98.81150801,-3.829570558,13.53448976,6.283296561,100.8808218,1652300000.0,56454734397.0,32.69242811,9489616.0,Belarussian
