country,community
AFG,2
ALB,1
ARE,2
ARG,0
ARM,1
AUS,2
AUT,1
AZE,1
BDI,2
BEL,1
BFA,2
BGD,2
BGR,1
BHR,2
BIH,1
BLR,1
BRA,0
CAN,0
CHE,1
CHL,0
CHN,2
CRI,0
CYP,1
CZE,1
DEU,1
DNK,1
EGY,2
ESP,1
EST,1
ETH,2
FIN,1
FRA,1
GBR,1
GEO,1
GHA,2
GRC,1
GTM,0
HRV,1
HUN,1
IDN,2
IND,2
IRL,1
IRN,2
IRQ,2
ISR,0
ITA,1
JAM,0
JOR,2
JPN,2
KAZ,1
KGZ,2
KHM,2
KNA,1
KOR,2
KWT,2
LBN,1
LKA,2
LTU,1
LUX,1
LVA,1
MDA,1
MDG,2
MEX,0
MKD,1
MLT,1
MOZ,2
MYS,2
NLD,1
NOR,1
NPL,2
NZL,2
OMN,2
PAK,2
PER,0
PHL,2
POL,1
PRT,1
PRY,0
QAT,2
RUS,1
RWA,2
SAU,2
SEN,0
SGP,2
SUR,0
SVK,1
SVN,1
SWE,1
THA,2
TJK,2
TKM,1
TUR,1
UKR,1
URY,0
USA,0
ZAF,2
ZWE,2
AGO,2
BEN,2
BOL,0
BWA,2
CIV,0
CMR,0
COG,2
COL,0
DOM,0
DZA,1
ECU,0
GMB,0
HND,0
ISL,1
LSO,2
MAR,1
MLI,0
MRT,1
MUS,2
MWI,2
NAM,2
NER,2
NGA,0
NIC,0
PAN,2
SLV,0
STP,2
SWZ,2
TGO,2
TTO,0
TUN,1
TZA,2
UGA,2
VNM,2
YEM,2
ZMB,2
COM,2
KEN,2
LAO,2
LBR,2
LBY,1
LCA,0
SLE,2
ATG,0
BRN,2
CAF,2
FJI,2
GUY,0
MDV,2
MMR,2
PNG,2
SYC,2
TON,2
BHS,0
DMA,0
GAB,1
GIN,2
GNB,0
GNQ,0
GRD,0
HTI,0
MNG,2
TCD,0
UZB,1
VCT,0
BTN,2
KIR,2
PLW,0
WSM,2
