source,target,weight
SVK,ISL,8513.824517468162
SVK,HUN,5822200.043419332
SVK,SYC,278.74114430976005
SVK,TTO,1353.76581559296
SVK,KWT,72107.88240522245
SVK,LTU,162279.34477827072
SVK,ARG,58745.46063648768
SVK,IRL,115467.33080914944
SVK,TKM,5403.138543052799
SVK,ZAF,95212.58997617666
SVK,LUX,81872.91908944899
SVK,SWZ,299.4928392192
SVK,WSM,0.78506284032
SVK,MDG,2527.4918815027195
SVK,CRI,2868.0165414912003
SVK,PRT,177623.45511195651
SVK,NOR,227741.82964380676
SVK,UZB,18369.62828101632
SVK,JOR,37842.53685374976
SVK,BOL,2147.58655660032
SVK,ECU,2681.60994545664
SVK,PAK,42818.59191312386
SVK,HTI,540.60675846144
SVK,HRV,332887.5713345741
SVK,GEO,27786.09972086783
SVK,VNM,14763.216966389758
SVK,MMR,409.8665640960001
SVK,ETH,2982.98241905664
SVK,KAZ,111709.496680151
SVK,NPL,204.89210277888
SVK,DZA,67947.08654570497
SVK,BRA,166780.9216719359
SVK,MOZ,451.610387712
SVK,URY,6753.111880796161
SVK,PRY,2212.99119123456
SVK,TUN,65089.81380836352
SVK,CZE,11421974.820973853
SVK,NIC,2012.9157345792
SVK,LSO,5.93645657088
SVK,USA,1542465.2321528513
SVK,MDV,256.43260735488
SVK,ATG,14.91486560256
SVK,HND,730.0274113228801
SVK,JAM,499.04492064768
SVK,SVN,652532.2882292122
SVK,QAT,25667.65347480572
SVK,MKD,47562.51411901436
SVK,SLV,266.97051515904
SVK,GIN,153.28252329984
SVK,RUS,3410870.040875828
SVK,NLD,1987094.6684014688
SVK,TJK,1603.89533804544
SVK,IRQ,22271.952495175698
SVK,COL,18420.26682676224
SVK,MNG,2529.469814784
SVK,UKR,740262.5598419245
SVK,BIH,110680.21154995207
SVK,KGZ,1923.16618171392
SVK,PHL,4403.397545902079
SVK,BEN,2972.3196450816
SVK,TCD,60.99579611136001
SVK,GAB,1041.9949123584
SVK,IND,43283.961490176
SVK,UGA,5618.207238758399
SVK,LCA,186.78385127424
SVK,SWE,1220948.7142370918
SVK,GRC,197025.0239218483
SVK,ZMB,153.1071793152
SVK,KNA,0.98431736832
SVK,CAF,4.98667665408
SVK,NZL,28227.43123166208
SVK,TGO,2587.4395987968
SVK,CIV,1646.9821371801602
SVK,KOR,110794.89448608764
SVK,LAO,110.2010376192
SVK,JPN,179864.19183203278
SVK,FJI,5.5259922432
SVK,SUR,235.09776086016
SVK,PAN,6448.71605182464
SVK,OMN,20517.07137435644
SVK,GTM,11625.22116636672
SVK,MRT,653.89756962816
SVK,DNK,753773.3345769373
SVK,GHA,3994.8792707788793
SVK,ISR,146040.9641825586
SVK,CYP,103188.17620733952
SVK,NAM,577.44227887104
SVK,MLT,22821.245422694403
SVK,AFG,2270.6979592704
SVK,DOM,2192.0588388864
SVK,KHM,208.94095478784
SVK,MAR,84007.34023520252
SVK,BGD,3644.346720030721
SVK,NGA,34215.098872965114
SVK,LBR,79.03895780351999
SVK,ESP,1587309.5053739825
SVK,SEN,2979.45428554752
SVK,IRN,8249.3101464576
SVK,BHS,0.98564573184
SVK,BLR,166260.8168760422
SVK,GBR,3666513.986853611
SVK,BDI,253.30165453824
SVK,BGR,484096.69319531496
SVK,BFA,59.17593808896
SVK,MUS,489.35185204224
SVK,SGP,45258.22450305024
SVK,CHN,2120496.955067165
SVK,BWA,359.60261686272
SVK,GNQ,3618.59904992256
SVK,MEX,115108.85331618816
SVK,SAU,146085.02865724414
SVK,ARE,196930.60517121025
SVK,MLI,1544.2079800012798
SVK,BRN,481.25680475136
SVK,YEM,3760.42842295296
SVK,MYS,19309.7629502976
SVK,LBN,53830.14499906561
SVK,AGO,1332.1360723968
SVK,LKA,3864.24800222208
SVK,POL,7035159.360429743
SVK,RWA,175.39313409024
SVK,CHE,1388869.3319582825
SVK,ALB,53953.54199989244
SVK,NER,135.2340481536
SVK,ZWE,12.21961602048
SVK,AUT,5242031.289124952
SVK,CAN,200200.3480651469
SVK,ARM,5500.188781824
SVK,MDA,35296.35622588416
SVK,KEN,3999.99214196736
SVK,CMR,785.87712715776
SVK,DEU,17667751.654349998
SVK,EST,76153.11860868096
SVK,COG,11043.279720253438
SVK,ITA,3841435.218475008
SVK,PER,9243.85192879104
SVK,THA,26618.601023139843
SVK,COM,88.60184678399999
SVK,MWI,1604.67375906816
SVK,BHR,12153.312083742718
SVK,SLE,33.92241921024
SVK,FRA,4183035.4663609033
