source,target,weight
SVK,SMR,10339.46092118016
SVK,ISL,8513.824517468162
SVK,HUN,5822200.043419332
SVK,SYC,278.74114430976005
SVK,ERI,0.00797018112
SVK,TTO,1353.76581559296
SVK,PYF,358.21580534784005
SVK,KWT,72107.88240522245
SVK,LTU,162279.34477827072
SVK,OAS,29543.336030208004
SVK,ARG,58745.46063648768
SVK,IRL,115467.33080914944
SVK,TKM,5403.138543052799
SVK,ZAF,95212.58997617666
SVK,LUX,81872.91908944899
SVK,SWZ,299.4928392192
SVK,WSM,0.78506284032
SVK,MDG,2527.4918815027195
SVK,CRI,2868.0165414912003
SVK,PRT,177623.45511195651
SVK,MAC,76.67048564736001
SVK,NOR,227741.82964380673
SVK,UZB,18369.628281016317
SVK,JOR,37842.536853749756
SVK,BOL,2147.58655660032
SVK,ECU,2681.6099454566397
SVK,PAK,42818.59191312386
SVK,HTI,540.60675846144
SVK,HRV,332887.5713345741
SVK,GEO,27786.09972086783
SVK,VNM,14763.216966389758
SVK,VUT,1.99254528
SVK,MMR,409.8665640960001
SVK,ETH,2982.98241905664
SVK,KAZ,111709.49668015099
SVK,NPL,204.89210277888
SVK,GRL,1.97793328128
SVK,ABW,398.90092323839997
SVK,DZA,67947.08654570497
SVK,VEN,19840.434877992957
SVK,ZAR,993.4432257024
SVK,ROM,1752127.0964648144
SVK,BRA,166780.9216719359
SVK,BMU,0.7890479308799999
SVK,MOZ,451.61038771200003
SVK,URY,6753.111880796161
SVK,PRY,2212.99119123456
SVK,PSE,9948.63777650688
SVK,MYT,51.38375768064
SVK,TUN,65089.81380836352
SVK,CZE,11421974.820973853
SVK,BRB,9.4778737152
SVK,NIC,2012.9157345792
SVK,LSO,5.93645657088
SVK,USA,1542465.2321528513
SVK,MDV,256.43260735488
SVK,ATG,14.91486560256
SVK,HND,730.0274113228801
SVK,JAM,499.04492064768
SVK,SVN,652532.2882292122
SVK,QAT,25667.65347480572
SVK,MKD,47562.51411901436
SVK,SLV,266.97051515904
SVK,GIN,153.28252329984
SVK,SER,461963.5480461615
SVK,RUS,3410870.040875828
SVK,NLD,1987094.6684014692
SVK,TJK,1603.89533804544
SVK,IRQ,22271.952495175698
SVK,COL,18420.26682676224
SVK,MNG,2529.469814784
SVK,UKR,740262.5598419245
SVK,BIH,110680.21154995207
SVK,KGZ,1923.16618171392
SVK,PHL,4403.397545902079
SVK,BEN,2972.3196450816
SVK,TCD,60.99579611136001
SVK,TCA,0.42109123584
SVK,GAB,1041.9949123584001
SVK,IND,43283.961490176
SVK,UGA,5618.207238758399
SVK,LCA,186.78385127424
SVK,SWE,1220948.7142370918
SVK,GRC,197025.0239218483
SVK,ZMB,153.1071793152
SVK,KNA,0.98431736832
SVK,CAF,4.98667665408
SVK,NZL,28227.431231662078
SVK,TGO,2587.4395987968
SVK,CIV,1646.9821371801602
SVK,KOR,110794.89448608765
SVK,LAO,110.20103761920001
SVK,JPN,179864.19183203278
SVK,FJI,5.5259922432
SVK,SUR,235.09776086016
SVK,PAN,6448.71605182464
SVK,OMN,20517.07137435644
SVK,GTM,11625.22116636672
