country_iso3,gdp_us_dollar,inflation_rate,gdp_growth,area,landlocked,continent,langoff_1,population,gdp_per_capita,agriculture_forestry_fishing_of_gdp,industry_of_gdp,merchandise_of_gdp,net_barter_of_trade,foreign_direct_investment_inflows
AFG,19907111419.0,-0.6617091647,1.451314655,652225,1,Asia,Persian,34413603.0,578.4663529,20.63432272,22.12404249,41.66350318,152.2335065,169146608.0
AGO,116193649124.0,9.150372075,0.9435715613,1246700,0,Africa,Portuguese,27884380.0,4166.979833,9.122534471,41.93309265,46.36570106,137.4660466,10028215163.0
ALB,11386846319.0,3.501208355,2.218752232,28748,0,Europe,Albanian,2880703.0,3952.801215,19.78022452,21.76366248,54.61564884,92.65394254,989578334.8
ARE,358135057862.0,4.069966084,5.105936984,83657,0,Asia,Arabic,9262896.0,38663.4005,0.7409992465,43.89381417,157.4528904,148.5987821,8550901847.0
ARG,594749285413.0,15.0,2.731159828,2766889,0,America,Spanish,43131966.0,13789.06042,5.156685902,23.15305614,19.67030526,146.3443414,11758994011.0
ARM,10553337673.0,3.731691193,3.199999999,29800,1,Asia,Armenian,2925559.0,3607.289299,17.22312003,25.70869944,44.76308962,118.5089449,184127986.3
ATG,1336692593.0,0.9689934588,3.825293099,442,0,America,English,93571.0,14285.32978,1.612326721,16.45797948,38.52793102,55.89818757,114024660.1
AUS,1351693984525.0,1.508366722,2.192647426,7686848,0,Pacific,English,23815995.0,56755.72171,2.372644114,23.64420556,29.31025843,148.1965091,46892808568.0
AUS,1351693984525.0,1.508366722,2.192647426,7686848,0,Pacific,English,23815995.0,56755.72171,2.372644114,23.64420556,29.31025843,148.1965091,46892808568.0
AUT,381817565894.0,0.8965633353,1.014501586,83858,1,Europe,German,8642699.0,44178.04738,1.129790194,25.17491325,80.86951141,88.49922641,-7975773544.0
AZE,53074370486.0,4.027685737,1.049546368,86600,1,Asia,Azeri,9649341.0,5500.310382,6.177638838,44.89132034,48.62799081,119.8082918,4047630000.0
BDI,3104394858.0,5.544688913,-3.900003086,27834,1,Africa,French,10160034.0,305.549646,30.68083011,11.76494577,31.50372506,145.5109372,49622865.77
BEL,462149679344.0,0.5614291528,2.041459009,33114,0,Europe,Dutch,11274196.0,40991.80814,0.6864147805,19.66988832,167.1257245,95.64220047,-19514245855.0
BEN,11388160958.0,0.2187859235,1.77815106,112622,0,Africa,French,10575962.0,1076.796702,26.39208509,16.38509544,37.25799101,119.5880978,149755663.3
BEN,11388160958.0,0.2187859235,1.77815106,112622,0,Africa,French,10575962.0,1076.796702,26.39208509,16.38509544,37.25799101,119.5880978,149755663.3
BFA,11832159276.0,0.7248389811,3.921228794,274200,1,Africa,French,18110616.0,653.3272681,22.63307521,24.35081157,44.42130872,126.1303463,231901703.7
BGD,195078678697.0,6.19428023,6.552639879,143998,0,Asia,Bengali,156256287.0,1248.45331,14.78299644,26.83139483,38.15178599,68.99045857,2831152765.0
BGR,50647442757.0,-0.104633261,3.989851714,110994,0,Europe,Bulgarian,7177991.0,7055.935673,4.02320785,23.67656566,107.7566744,111.7467553,2221390000.0
BHR,31050638298.0,1.848627424,2.485378558,678,0,Asia,Arabic,1371853.0,22634.08565,0.3162301799,40.15386671,93.22835725,130.3197412,64893617.02
BHS,11710800000.0,1.878438324,0.2304781235,13939,0,America,English,374200.0,31295.56387,0.8240256857,11.51159613,29.67346381,81.06273622,76075924.75
